Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
BMW 3,Chennai,2012,58000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,Others,5,4,,15.3
Hyundai Santro,Ahmedabad,2005,58000,Petrol,Manual,Second,0.0 kmpl,999 CC,null bhp,Black/Silver,5,4,,1.51
Volkswagen Jetta,Chennai,2011,110000,Diesel,Automatic,First,16.96 kmpl,1968 CC,138.1 bhp,Black/Silver,5,4,,8
Mercedes-Benz S,Bangalore,2009,98000,Diesel,Automatic,Second,13.5 kmpl,2987 CC,282 bhp,Black/Silver,5,4,,25
Hyundai i10,Jaipur,2010,81402,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5,4,,2.1
Maruti Swift,Jaipur,2014,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Others,5,4,,4.8
BMW 5,Coimbatore,2016,18090,Diesel,Automatic,First,16.2 kmpl,2993 CC,258 bhp,Others,5,4,,45.73
Honda City,Kochi,2013,50266,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5,4,,5.53
Volkswagen Vento,Chennai,2011,121311,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,Others,5,4,14.32 Lakh,2.9
Volkswagen Polo,Mumbai,2017,25000,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.5 bhp,Others,5,4,11.26 Lakh,7.75
Hyundai Verna,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,15.57 Lakh,6.01
Volkswagen Polo,Hyderabad,2013,76476,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,White,5,4,,4.4
Renault Duster,Kochi,2014,68598,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,White,5,4,,6.17
Hyundai Creta,Kochi,2018,35480,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Black/Silver,5,4,,13.34
Ford Fiesta,Kochi,2012,79985,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,Others,5,4,,3.16
Land Rover Range,Coimbatore,2017,34990,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,Others,5,4,,53.83
Hyundai Grand,Bangalore,2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,White,5,4,,5.75
Tata Indigo,Ahmedabad,2015,78008,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,Others,5,4,,2.9
Maruti Swift,Mumbai,2009,53001,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,Black/Silver,5,4,,1.95
Honda City,Jaipur,2011,52000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Others,5,4,,3.8
Honda Accord,Kochi,2011,62332,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,White,5,4,,5.89
Honda Jazz,Kochi,2016,28503,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,Others,5,4,,6.86
Mercedes-Benz E-Class,Bangalore,2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,White,5,4,,32
BMW X3,Kolkata,2012,51001,Diesel,Automatic,First,16.09 kmpl,1995 CC,184 bhp,White,5,4,,17
Mercedes-Benz E-Class,Kochi,2017,43368,Diesel,Automatic,First,15.0 kmpl,2143 CC,204 bhp,White,5,4,,31.94
Hyundai Verna,Bangalore,2014,46676,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,Others,5,4,12.27 Lakh,7.75
Honda Civic,Delhi,2008,72000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,Others,5,4,,2.5
Maruti A-Star,Hyderabad,2013,56500,Petrol,Automatic,First,16.98 kmpl,998 CC,66.1 bhp,White,5,4,,3.45
Maruti Eeco,Hyderabad,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,Others,7,5,4.83 Lakh,2.95
Honda City,Delhi,2010,43000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,White,5,4,,3.75
Ford Ikon,Bangalore,2009,75000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,White,5,4,,1.99
Audi A4,Delhi,2012,69000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,Black/Silver,5,4,,10.25
Maruti Alto,Jaipur,2011,100000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Black/Silver,5,4,,1.5
Maruti Swift,Delhi,2015,53503,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Black/Silver,5,4,,5
Renault Duster,Kochi,2015,65178,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,Others,5,4,,6.79
Maruti Zen,Pune,2011,20575,Petrol,Manual,First,19.0 kmpl,998 CC,67.1 bhp,Others,5,4,,2
Maruti Vitara,Coimbatore,2017,25299,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,White,5,4,12.56 Lakh,10.34
Honda Brio,Mumbai,2013,17003,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,Black/Silver,5,4,,3.15
Maruti Alto,Hyderabad,2007,76161,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Others,5,4,,1.65
Honda City,Kolkata,2008,40000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,Others,5,4,,2
Audi Q3,Delhi,2013,60000,Diesel,Automatic,Second,15.73 kmpl,1968 CC,174.33 bhp,Others,5,4,,14.5
Volkswagen Polo,Coimbatore,2018,39861,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,White,5,4,,7.38
Maruti Alto,Ahmedabad,2017,20000,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,White,5,4,,4
Mercedes-Benz GLA,Pune,2017,50000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5,4,,25
Tata Bolt,Hyderabad,2017,98500,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,White,5,4,7.97 Lakh,6
Audi A6,Pune,2012,50001,Diesel,Automatic,First,14.57 kmpl,2967 CC,241.38 bhp,White,5,4,,29
Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,White,5,4,,55.76
Maruti Wagon,Jaipur,2017,34000,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,Black/Silver,5,4,,4.35
BMW 3,Bangalore,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,Others,5,4,,23.5
Maruti Swift,Kolkata,2017,148000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,White,5,4,,4.75
Volkswagen Vento,Hyderabad,2015,85000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,Others,5,4,,6
BMW 6,Mumbai,2011,30000,Diesel,Automatic,First,9.52 kmpl,2993 CC,313 bhp,Others,4,4,,49
Volkswagen Vento,Bangalore,2012,65000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,White,5,4,,5.5
Maruti Swift,Pune,2016,58000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,Others,5,4,,7.55
Mercedes-Benz E-Class,Kochi,2016,35939,Petrol,Manual,First,12.3 kmpl,1796 CC,185 bhp,Black/Silver,5,4,,30.42
Hyundai i20,Coimbatore,2014,45051,Petrol,Automatic,First,15.0 kmpl,1396 CC,98.6 bhp,White,5,4,,5.96
Honda City,Pune,2018,4500,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,15.17 Lakh,12.5
Toyota Corolla,Delhi,2017,21000,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,Black/Silver,5,4,23.25 Lakh,18
Toyota Corolla,Kolkata,2015,46000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,Black/Silver,5,4,,6.95
Renault KWID,Mumbai,2016,16000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,White,5,4,4.78 Lakh,2.99
Maruti Swift,Kochi,2018,10671,Petrol,Manual,First,20.85 kmpl,1197 CC,83.14 bhp,Black/Silver,5,4,,6.51
Nissan Micra,Jaipur,2010,75055,Petrol,Manual,First,18.06 kmpl,1198 CC,75 bhp,Others,5,4,,2.25
Toyota Etios,Bangalore,2014,57464,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,Others,5,4,9.99 Lakh,5.75
Ford Endeavour,Jaipur,2008,205000,Diesel,Manual,Second,13.1 kmpl,2499 CC,141 bhp,Others,7,5,,3.9
Hyundai Grand,Jaipur,2016,22000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Others,5,4,,4.25
Honda Civic,Mumbai,2012,92000,Petrol,Manual,Second,14.8 kmpl,1799 CC,130.2 bhp,Black/Silver,5,4,,3.35
Renault Duster,Hyderabad,2012,82749,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,White,5,4,,5.99
Mercedes-Benz New,Kochi,2015,63983,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,Black/Silver,5,4,,16.56
Hyundai Grand,Coimbatore,2017,31576,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,White,5,4,,7.85
Toyota Innova,Pune,2014,102418,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,White,7,4,,10.1
Fiat Grande,Jaipur,2011,130000,Diesel,Manual,First,20.3 kmpl,1248 CC,75 bhp,Black/Silver,5,4,,2.2
Maruti Wagon,Mumbai,2010,38000,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,White,5,4,5.61 Lakh,1.75
Maruti Ciaz,Kolkata,2015,34400,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,Others,5,4,,5.5
Mahindra Scorpio,Pune,2010,96813,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,White,8,5,,5.5
Audi Q3,Hyderabad,2013,105000,Diesel,Automatic,First,17.32 kmpl,1968 CC,150 bhp,Black/Silver,5,4,,19
Maruti Alto,Coimbatore,2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Others,5,4,,2.96
Toyota Corolla,Bangalore,2005,67000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,Black/Silver,5,4,,2.45
Honda City,Kochi,2016,55700,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,White,5,4,,7.52
Maruti Esteem,Chennai,2004,95000,Petrol,Manual,First,15.9 kmpl,1298 CC,null bhp,White,5,4,,0.8
Hyundai Elantra,Delhi,2017,9500,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,White,5,4,21.77 Lakh,16.35
Ford Ecosport,Mumbai,2015,44000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,Black/Silver,5,4,,7.35
Honda City,Mumbai,2015,19000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,Black/Silver,5,4,15.29 Lakh,8.95
BMW 3,Pune,2013,49000,Petrol,Automatic,First,14.59 kmpl,1997 CC,245 bhp,White,5,4,,19
Jeep Compass,Jaipur,2017,45000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,Others,5,4,25.54 Lakh,20
Tata Zest,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,White,5,4,6.67 Lakh,4.5
Datsun GO,Hyderabad,2016,19000,Petrol,Manual,First,20.63 kmpl,1198 CC,67 bhp,Others,5,4,,2.99
Mercedes-Benz M-Class,Mumbai,2012,51000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,Black/Silver,5,4,,22.25
Skoda Superb,Mumbai,2010,67000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,Black/Silver,5,4,,4.7
Chevrolet Optra,Kochi,2013,55176,Petrol,Manual,Second,17.4 kmpl,1599 CC,104 bhp,White,5,4,,3.47
Mahindra XUV500,Jaipur,2012,110000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,Black/Silver,7,5,,7.2
Audi A6,Delhi,2014,58000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,Others,5,4,,18.5
BMW 3,Mumbai,2014,18600,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,White,5,4,54.43 Lakh,21
Maruti Alto,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,White,5,4,4.53 Lakh,3.5
Audi TT,Delhi,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,White,2,2,,29.5
Mercedes-Benz New,Mumbai,2011,45000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,Others,5,4,,13.5
Skoda Yeti,Hyderabad,2010,110009,Diesel,Manual,First,17.67 kmpl,1968 CC,138.08 bhp,White,5,4,,6.99
Volkswagen Ameo,Coimbatore,2017,22440,Diesel,Automatic,First,22.0 kmpl,1498 CC,108.495 bhp,Black/Silver,5,4,,8.89
Skoda Rapid,Mumbai,2013,23000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,White,5,4,,4.95
Renault KWID,Kochi,2019,6568,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,Black/Silver,5,4,4.78 Lakh,5.09
Mahindra Xylo,Hyderabad,2016,132000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,White,7,5,,5.5
Ford Figo,Delhi,2010,59196,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,Black/Silver,5,4,,2.25
Skoda Rapid,Coimbatore,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,White,5,4,,9.86
Toyota Innova,Pune,2017,43000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,White,7,4,25.52 Lakh,18.65
Mercedes-Benz CLA,Coimbatore,2017,23106,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5,4,,27.43
Hyundai Verna,Jaipur,2012,75200,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,White,5,4,,5.25
Hyundai Santa,Pune,2015,100000,Diesel,Automatic,Second,13.01 kmpl,2199 CC,194.3 bhp,White,7,5,,14.5
Mahindra Xylo,Coimbatore,2016,93166,Diesel,Manual,Second,14.02 kmpl,2179 CC,118.3 bhp,White,7,5,11.67 Lakh,5.85
Hyundai Grand,Coimbatore,2017,22831,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Others,5,4,,6.19
Audi TT,Kolkata,2012,7000,Petrol,Automatic,First,14.33 kmpl,1984 CC,226.6 bhp,Black/Silver,4,4,,35
Ford EcoSport,Kochi,2016,43983,Petrol,Automatic,First,15.63 kmpl,1499 CC,110.4 bhp,White,5,4,,7.58
Skoda Superb,Ahmedabad,2010,48002,Petrol,Manual,Second,13.14 kmpl,1798 CC,157.8 bhp,Black/Silver,5,4,,6.75
Audi Q7,Coimbatore,2014,51076,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Black/Silver,7,5,,34.88
Volvo XC60,Ahmedabad,2011,173000,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,Others,5,4,,12
Maruti Swift,Pune,2008,150000,Diesel,Manual,Second,28.4 kmpl,1248 CC,74 bhp,White,5,4,,2.7
Audi A6,Kochi,2014,61726,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,White,5,4,,20.77
Volkswagen Polo,Delhi,2014,62000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,Black/Silver,5,4,,4.25
Honda Brio,Delhi,2015,44328,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,Others,5,4,,3.8
Land Rover Discovery,Coimbatore,2019,24013,Diesel,Automatic,First,12.81 kmpl,1999 CC,148.31 bhp,Black/Silver,7,5,69.22 Lakh,56.14
BMW 3,Pune,2018,24000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,Black/Silver,5,4,,28
Hyundai EON,Jaipur,2017,8500,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,Black/Silver,5,4,,3.42
Honda CR-V,Mumbai,2007,66000,Petrol,Automatic,First,11.1 kmpl,2354 CC,158.8 bhp,White,5,4,,3.7
Mercedes-Benz E-Class,Hyderabad,2005,102000,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,Others,5,4,,4.65
Mitsubishi Pajero,Bangalore,2018,8900,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,Black/Silver,6,5,,26.5
Honda Amaze,Pune,2015,42023,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,White,5,4,,4.34
Mahindra Logan,Mumbai,2010,93000,Petrol,Manual,First,15.7 kmpl,1390 CC,75 bhp,Black/Silver,5,4,,1.5
BMW X1,Mumbai,2016,7000,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,Black/Silver,5,4,,27.75
BMW 3,Coimbatore,2011,75871,Petrol,Automatic,First,9.43 kmpl,2996 CC,254 bhp,White,5,4,,14.12
Skoda Laura,Delhi,2011,85000,Diesel,Manual,Second,20.0 kmpl,1968 CC,108.5 bhp,Others,5,4,,3.65
Maruti SX4,Chennai,2007,62493,Petrol,Manual,First,15.0 kmpl,1586 CC,104.68 bhp,White,5,4,,1.8
Hyundai Grand,Kolkata,2017,31184,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,White,5,4,6.4 Lakh,5
Maruti Alto,Kochi,2019,19855,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,Black/Silver,5,4,,3.8
Hyundai Xcent,Kolkata,2016,32000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,Others,5,4,,3.6
Hyundai i20,Bangalore,2010,77332,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,Black/Silver,5,4,,3.65
Mercedes-Benz E-Class,Mumbai,2011,55000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,Black/Silver,5,4,,16
Hyundai i20,Delhi,2016,32450,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,White,5,4,,5.75
Hyundai Xcent,Kolkata,2017,51000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,Others,5,4,8.23 Lakh,4.2
Honda Amaze,Kochi,2016,51672,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,Others,5,4,7.55 Lakh,5.68
Toyota Innova,Chennai,2016,40000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,White,8,5,21.1 Lakh,16.45
Maruti Alto,Chennai,2016,57000,Petrol,Automatic,First,24.07 kmpl,998 CC,67.1 bhp,White,5,4,,3.4
Maruti Ertiga,Mumbai,2012,52500,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,Black/Silver,7,5,,5.25
Maruti Celerio,Hyderabad,2016,21600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,White,5,4,,4.65
Honda Amaze,Mumbai,2017,32005,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Black/Silver,5,4,,4.25
Porsche Panamera,Kolkata,2015,25100,Diesel,Automatic,First,17.85 kmpl,2967 CC,300 bhp,White,4,4,,75
Audi A4,Hyderabad,2013,52000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,White,5,4,,19.5
Maruti Wagon,Delhi,2014,48500,CNG,Manual,Second,26.6 km/kg,998 CC,58.16 bhp,Others,5,4,,2.85
Hyundai Verna,Coimbatore,2019,6028,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,Others,5,4,,11.54
BMW X5,Chennai,2017,6500000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,White,5,4,,65
Maruti Ertiga,Bangalore,2014,42000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,Others,7,5,,5.94
Tata Indigo,Hyderabad,2005,92000,Diesel,Manual,Second,16.1 kmpl,1405 CC,70 bhp,White,5,4,,1.1
Maruti Vitara,Coimbatore,2017,26927,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,Black/Silver,5,4,12.56 Lakh,11.39
Toyota Innova,Kochi,2017,20789,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,Others,7,4,20.74 Lakh,18.36
Hyundai Xcent,Coimbatore,2015,45960,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,White,5,4,,5.56
Hyundai Verna,Mumbai,2017,16100,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,Black/Silver,5,4,,11.6
Renault KWID,Hyderabad,2018,4126,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,White,5,4,5.3 Lakh,4.8
Hyundai i20,Chennai,2010,67714,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,Others,5,4,,3.25
Chevrolet Cruze,Mumbai,2013,59302,Diesel,Automatic,First,14.39 kmpl,1998 CC,163.7 bhp,Black/Silver,5,4,,5.25
Renault Pulse,Delhi,2014,67668,Diesel,Manual,First,23.08 kmpl,1461 CC,63.12 bhp,White,5,4,,3.1
Maruti Swift,Hyderabad,2014,81609,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,Others,5,4,,5.55
Maruti Ignis,Mumbai,2017,1000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,Black/Silver,5,4,7.87 Lakh,6.36
Renault Duster,Kolkata,2013,57000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,Others,5,4,,4.99
Mercedes-Benz CLA,Jaipur,2017,39000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,Others,5,4,42.4 Lakh,27
Audi A4,Coimbatore,2016,39644,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,Others,5,4,,25.75
Maruti Ritz,Hyderabad,2012,85112,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,Others,5,4,,3.39
Chevrolet Cruze,Chennai,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,147.9 bhp,White,5,4,,4.2
Hyundai i10,Pune,2012,44000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,Others,5,4,,2.9
Maruti Ertiga,Mumbai,2017,28000,Petrol,Automatic,First,18.69 kmpl,1462 CC,103 bhp,Others,7,5,10.65 Lakh,8
Mahindra XUV500,Mumbai,2015,53392,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,Black/Silver,7,5,,11.95
Mercedes-Benz E-Class,Bangalore,2014,28000,Diesel,Automatic,First,13.0 kmpl,2987 CC,258 bhp,Black/Silver,5,4,,31.75
Ford Figo,Chennai,2012,72500,Diesel,Manual,First,18.5 kmpl,1399 CC,68 bhp,Black/Silver,5,4,,3.12
Hyundai EON,Jaipur,2013,70000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,Black/Silver,5,4,,1.8
Hyundai Verna,Hyderabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,White,5,4,14.07 Lakh,2.6
Mercedes-Benz GL-Class,Bangalore,2014,52000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,Black/Silver,7,5,,49
Maruti Swift,Hyderabad,2014,76126,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,White,5,4,,6.6
Hyundai Creta,Coimbatore,2017,60083,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,White,5,4,,13.78
Jaguar XF,Mumbai,2013,31400,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,Black/Silver,5,4,,26.75
Maruti Alto,Kolkata,2017,2196,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,White,5,4,,2.75
Ford EcoSport,Mumbai,2014,31130,Petrol,Manual,First,15.85 kmpl,1499 CC,110.4 bhp,White,5,4,,5.75
Mitsubishi Lancer,Chennai,2001,104000,Petrol,Manual,Third,13.7 kmpl,1468 CC,85.8 bhp,White,5,4,,1
Hyundai Santro,Hyderabad,2009,80227,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,Others,5,4,,2.3
Mercedes-Benz SLC,Kolkata,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,White,2,2,95.04 Lakh,54
Mini Cooper,Hyderabad,2017,2000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,White,5,4,42.48 Lakh,34
Jaguar XF,Coimbatore,2012,75668,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,Others,5,4,,16.58
Fiat Linea,Coimbatore,2013,60283,Petrol,Manual,First,14.6 kmpl,1368 CC,112 bhp,White,5,4,,2.98
BMW 5,Bangalore,2015,14000,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,White,5,4,,35
Toyota Camry,Pune,2018,17585,Petrol,Automatic,First,19.16 kmpl,2494 CC,157.7 bhp,Black/Silver,5,4,,32
Porsche Cayenne,Kochi,2015,47877,Diesel,Automatic,First,15.15 kmpl,2967 CC,240 bhp,Others,5,4,,48.22
Mercedes-Benz A,Kochi,2016,35437,Diesel,Automatic,First,20.0 kmpl,2143 CC,136 bhp,Black/Silver,5,4,,18.58
Maruti Swift,Kochi,2016,19148,Petrol,Manual,First,16.1 kmpl,1197 CC,85 bhp,Others,5,4,,5.89
Maruti Swift,Coimbatore,2014,58310,Petrol,Manual,Second,19.1 kmpl,1197 CC,85.8 bhp,Black/Silver,5,4,,5.39
Jaguar XF,Delhi,2014,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,Black/Silver,5,4,,26.5
Hyundai i20,Pune,2012,39000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,Black/Silver,5,4,,2.75
Maruti Alto,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,White,5,4,,1.6
Maruti Wagon,Jaipur,2017,35362,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,Others,5,4,5.44 Lakh,3.85
Ford Figo,Chennai,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,Others,5,4,,2.6
Toyota Fortuner,Kochi,2014,56501,Diesel,Automatic,First,12.9 kmpl,2755 CC,174.5 bhp,Black/Silver,7,5,,17.71
Hyundai i10,Bangalore,2009,37000,Petrol,Automatic,Third,16.95 kmpl,1197 CC,78.9 bhp,White,5,4,,2.95
Hyundai i20,Kochi,2016,69681,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,White,5,4,,6.13
Volkswagen Passat,Hyderabad,2011,81650,Diesel,Automatic,First,18.33 kmpl,1968 CC,167.7 bhp,White,5,4,,7.5
Audi A4,Coimbatore,2016,68193,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,Others,5,4,,24.74
BMW 7,Mumbai,2011,55000,Diesel,Automatic,Second,16.46 kmpl,2993 CC,258 bhp,Others,5,4,,19.5
Audi A4,Kolkata,2008,17000,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,White,5,4,,9.75
Hyundai EON,Mumbai,2016,25350,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,White,5,4,,2.55
Volkswagen Jetta,Kochi,2012,58775,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,Others,5,4,,5.64
Maruti Swift,Mumbai,2013,65000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,Others,5,4,,4.99
